kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
addusxx_g,BaO_nat002,64000,18643,1,0,9.957000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,1,9.830000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,2,9.892000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,3,9.830000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,4,9.853000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,5,9.867000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,6,9.906000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,7,9.916000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,8,9.843000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,9,9.732000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,10,9.718000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,11,10.091000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,12,9.873000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,13,9.816000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,14,9.837000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,15,9.827000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,16,9.787000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,17,10.031000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,18,9.765000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,1,19,9.839000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,0,5.178000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,1,5.160000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,2,5.114000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,3,5.112000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,4,5.111000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,5,5.097000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,6,5.071000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,7,5.089000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,8,5.084000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,9,5.038000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,10,5.026000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,11,5.058000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,12,5.046000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,13,5.056000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,14,5.030000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,15,5.014000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,16,5.045000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,17,4.999000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,18,5.000000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,2,19,4.993000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,0,2.563000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,1,2.550000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,2,2.558000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,3,2.598000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,4,2.535000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,5,2.543000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,6,2.559000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,7,2.553000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,8,2.543000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,9,2.521000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,10,2.565000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,11,2.520000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,12,2.516000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,13,2.539000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,14,2.531000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,15,2.536000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,16,2.545000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,17,2.544000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,18,2.527000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,4,19,2.530000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,0,1.372000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,1,1.390000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,2,1.374000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,3,1.360000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,4,1.377000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,5,1.396000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,6,1.498000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,7,1.381000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,8,1.362000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,9,1.370000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,10,1.373000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,11,1.367000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,12,1.357000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,13,1.354000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,14,1.360000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,15,1.345000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,16,1.444000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,17,1.373000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,18,1.344000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,8,19,1.450000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,0,0.726000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,1,0.731000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,2,0.722000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,3,0.721000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,4,0.706000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,5,0.714000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,6,0.714000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,7,0.705000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,8,0.708000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,9,0.711000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,10,0.700000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,11,0.703000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,12,0.791000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,13,0.701000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,14,0.721000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,15,0.704000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,16,0.701000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,17,0.702000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,18,0.708000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,16,19,0.728000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,32,0,0.436000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,32,1,0.440000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,32,2,0.444000,set0,flang-openmp,mimalloc
addusxx_g,BaO_nat002,64000,18643,32,3,0.433000,set0,flang-openmp,mimalloc
