kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
addusxx_g,BaO_nat002,64000,18643,4,17,2.592000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,4,18,2.581000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,4,19,2.539000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,0,1.353000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,1,1.389000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,2,1.428000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,3,1.345000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,4,1.364000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,5,1.347000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,6,1.349000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,7,1.360000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,8,1.337000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,9,1.340000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,10,1.346000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,11,1.384000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,12,1.356000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,13,1.342000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,14,1.342000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,15,1.412000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,16,1.342000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,17,1.355000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,18,1.341000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,8,19,1.340000,set0,flang-openmp,mimalloc,1
addusxx_g,BaO_nat002,64000,18643,16,0,0.739000,set0,flang-openmp,mimalloc,1
