kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
newdxx_g,BaO_nat002,64000,18643,1,0,7.150000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,1,9.241000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,2,7.341000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,3,7.079000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,4,7.076000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,5,7.059000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,6,7.012000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,7,6.991000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,8,7.004000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,9,7.055000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,10,7.011000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,11,7.022000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,12,6.942000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,13,7.125000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,14,7.008000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,15,6.970000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,16,8.984000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,17,7.320000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,18,6.974000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,19,6.991000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,0,5.737000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,1,5.772000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,2,5.807000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,3,5.806000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,4,5.688000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,5,5.751000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,6,5.757000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,7,5.715000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,8,5.731000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,9,5.730000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,10,5.723000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,11,5.765000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,12,5.792000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,13,5.701000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,14,7.994000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,15,6.173000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,16,5.898000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,17,5.797000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,18,5.947000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,19,5.722000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,0,5.879000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,1,5.792000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,2,6.171000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,3,5.762000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,4,5.748000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,5,5.762000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,6,5.805000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,7,5.731000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,8,5.737000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,9,5.739000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,10,5.599000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,11,5.693000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,12,7.757000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,13,6.017000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,14,5.732000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,15,5.776000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,16,5.713000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,17,5.742000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,18,5.725000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,19,5.756000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,0,5.741000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,1,5.801000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,2,5.756000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,3,5.717000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,4,5.767000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,5,5.817000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,6,5.769000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,7,5.473000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,8,5.730000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,9,5.753000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,10,5.719000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,11,5.743000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,12,5.720000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,13,7.987000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,14,5.710000,set0,original-openmp,mimalloc,1
