kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
newdxx_g,BaO_nat002,64000,18643,1,0,10.147000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,1,10.282000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,2,10.228000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,3,10.164000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,4,10.166000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,5,10.171000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,6,10.244000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,7,10.129000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,8,10.144000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,9,10.222000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,10,10.203000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,11,10.113000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,12,10.213000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,13,10.140000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,14,10.100000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,15,10.082000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,16,10.110000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,17,10.096000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,18,10.116000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,19,10.224000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,0,8.393000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,1,8.492000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,2,8.330000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,3,8.452000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,4,8.376000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,5,8.341000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,6,8.308000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,7,8.271000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,8,8.305000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,9,8.325000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,10,8.358000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,11,8.325000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,12,8.303000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,13,8.264000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,14,8.326000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,15,8.348000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,16,8.342000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,17,8.298000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,18,8.339000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,19,8.353000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,0,8.435000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,1,8.459000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,2,8.394000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,3,8.909000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,4,8.410000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,5,8.371000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,6,8.389000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,7,8.407000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,8,8.486000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,9,8.345000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,10,8.340000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,11,8.369000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,12,8.317000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,13,8.402000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,14,8.316000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,15,8.322000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,16,8.324000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,17,8.408000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,18,8.279000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,19,8.336000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,0,8.466000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,1,8.334000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,2,8.216000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,3,8.443000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,4,8.306000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,5,8.481000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,6,8.317000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,7,8.297000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,8,8.396000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,9,8.412000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,10,8.344000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,11,8.362000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,12,8.347000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,13,8.324000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,14,8.347000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,15,8.464000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,16,8.257000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,17,8.344000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,18,8.368000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,19,8.375000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,0,8.344000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,1,8.400000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,2,8.453000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,3,8.404000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,4,8.338000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,5,8.332000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,6,8.238000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,7,8.351000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,8,8.384000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,9,8.294000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,10,8.264000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,11,8.303000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,12,8.322000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,13,8.282000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,14,8.359000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,15,8.403000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,16,8.341000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,17,8.364000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,18,8.186000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,19,8.351000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,0,8.489000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,1,8.562000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,2,8.545000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,3,8.476000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,4,8.415000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,5,8.400000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,6,8.322000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,7,8.414000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,8,8.368000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,9,8.488000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,10,8.463000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,11,8.437000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,12,8.426000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,13,8.416000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,14,8.418000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,15,8.502000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,16,8.416000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,17,8.402000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,18,8.419000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,19,8.354000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,0,8.400000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,1,8.385000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,2,8.364000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,3,8.392000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,4,8.433000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,5,8.644000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,6,8.317000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,7,8.373000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,8,8.298000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,9,8.300000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,10,8.197000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,11,8.410000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,12,8.404000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,13,8.172000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,14,8.255000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,15,8.155000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,16,8.067000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,17,8.142000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,18,8.144000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,19,8.285000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,0,8.635000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,1,8.581000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,2,8.434000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,3,8.466000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,4,8.437000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,5,8.445000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,6,8.365000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,7,8.347000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,8,8.593000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,9,8.395000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,10,8.349000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,11,8.331000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,12,8.416000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,13,8.381000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,14,8.388000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,15,8.324000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,16,8.345000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,17,8.377000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,18,8.393000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,72,19,8.424000,set0,flang-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,0,622.595000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,1,622.831000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,2,623.607000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,3,623.382000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,4,622.863000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,5,622.886000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,6,623.432000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,7,624.739000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,8,624.730000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,9,624.199000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,10,625.962000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,11,624.413000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,12,625.584000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,13,626.090000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,14,624.574000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,15,627.852000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,16,627.230000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,17,626.611000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,18,628.831000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,1,19,627.488000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,0,328.860000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,1,327.640000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,2,326.923000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,3,328.363000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,4,327.065000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,5,327.138000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,6,327.271000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,7,327.039000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,8,326.435000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,9,329.017000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,10,327.619000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,11,326.102000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,12,329.286000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,13,326.914000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,14,326.429000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,15,329.751000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,16,327.389000,set0_rep72,flang-openmp,mimalloc,72
newdxx_g,BaO_nat002,64000,18643,2,17,327.029000,set0_rep72,flang-openmp,mimalloc,72
