kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc
newdxx_g,BaO_nat002,64000,18643,2,11,8.372000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,12,8.352000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,13,8.339000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,14,8.455000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,15,8.244000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,16,8.376000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,17,8.323000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,18,8.325000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,2,19,8.370000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,0,8.451000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,1,8.392000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,2,8.367000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,3,8.399000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,4,8.404000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,5,8.399000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,6,8.350000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,7,8.268000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,8,8.490000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,9,8.527000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,10,8.560000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,11,8.415000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,12,8.297000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,13,8.389000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,14,8.494000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,15,8.263000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,16,8.281000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,17,8.301000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,18,8.417000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,4,19,8.308000,set0,flang-openmp,mimalloc
newdxx_g,BaO_nat002,64000,18643,8,0,8.369000,set0,flang-openmp,mimalloc
