kernel,mode,nnr,ngmt,threads,rep,ms,inputs,lane,alloc,deck_rep
newdxx_g,BaO_nat002,64000,18643,1,0,7.215000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,1,7.147000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,2,7.099000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,3,7.043000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,4,6.977000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,5,7.009000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,6,7.021000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,7,7.020000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,8,6.994000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,9,6.980000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,10,7.035000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,11,6.950000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,12,6.979000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,13,6.988000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,14,6.969000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,15,6.972000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,16,6.977000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,17,6.989000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,18,7.106000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,1,19,6.991000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,0,5.755000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,1,5.773000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,2,5.660000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,3,5.689000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,4,5.736000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,5,5.695000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,6,5.736000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,7,5.624000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,8,5.803000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,9,5.762000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,10,5.735000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,11,5.762000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,12,5.747000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,13,5.723000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,14,5.754000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,15,5.726000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,16,5.702000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,17,5.666000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,18,5.694000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,2,19,5.714000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,0,5.818000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,1,5.852000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,2,5.779000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,3,5.739000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,4,6.154000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,5,5.755000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,6,5.736000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,7,5.737000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,8,5.697000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,9,5.921000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,10,5.765000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,11,5.724000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,12,5.796000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,13,5.820000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,14,5.668000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,15,5.676000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,16,5.671000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,17,5.930000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,18,5.655000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,4,19,5.728000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,0,5.795000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,1,5.844000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,2,5.778000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,3,5.774000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,4,5.768000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,5,5.750000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,6,5.690000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,7,5.761000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,8,5.723000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,9,5.703000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,10,5.734000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,11,5.716000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,12,5.654000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,13,5.737000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,14,5.701000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,15,5.673000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,16,5.668000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,17,5.698000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,18,5.745000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,8,19,5.684000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,0,5.917000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,1,5.803000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,2,5.789000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,3,5.780000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,4,5.695000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,5,5.764000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,6,5.715000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,7,5.908000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,8,5.779000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,9,5.712000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,10,5.691000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,11,5.724000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,12,5.726000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,13,5.781000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,14,5.705000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,15,5.799000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,16,5.781000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,17,5.958000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,18,5.752000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,16,19,5.670000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,0,5.826000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,1,5.855000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,2,5.758000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,3,5.832000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,4,5.775000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,5,5.747000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,6,5.732000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,7,5.708000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,8,5.806000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,9,5.745000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,10,5.757000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,11,5.748000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,12,5.736000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,13,5.805000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,14,5.786000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,15,5.735000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,16,5.752000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,17,5.726000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,18,5.686000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,32,19,5.752000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,0,5.967000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,1,6.093000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,2,6.113000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,3,5.850000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,4,6.100000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,5,5.831000,set0,original-openmp,mimalloc,1
newdxx_g,BaO_nat002,64000,18643,64,6,5.830000,set0,original-openmp,mimalloc,1
